Wrestler,Wins,Losses,Draws,Win Percent,Loss Percent,Draw Percent
Dean Ambrose,133,67,4,65.19607843137256,32.84313725490196,1.9607843137254901
Kevin Owens,61,130,2,31.606217616580313,67.35751295336787,1.0362694300518136
Tyler Breeze,17,163,2,9.340659340659341,89.56043956043956,1.098901098901099
AJ Styles,108,68,0,61.36363636363637,38.63636363636363,0.0
Sami Zayn,111,59,6,63.06818181818182,33.52272727272727,3.4090909090909087
Dolph Ziggler,114,56,2,66.27906976744185,32.55813953488372,1.1627906976744187
Zack Ryder,119,51,2,69.18604651162791,29.651162790697676,1.1627906976744187
Rusev,70,97,2,41.42011834319527,57.396449704142015,1.183431952662722
Jey Uso,76,90,0,45.78313253012048,54.21686746987952,0.0
Baron Corbin,103,59,3,62.42424242424243,35.75757575757576,1.8181818181818181
Sheamus,44,115,5,26.82926829268293,70.1219512195122,3.048780487804878
Becky Lynch,102,54,5,63.35403726708074,33.54037267080746,3.1055900621118013
Roman Reigns,142,12,5,89.30817610062893,7.547169811320755,3.1446540880503147
Apollo Crews,125,30,0,80.64516129032258,19.35483870967742,0.0
Jason Jordan,126,23,2,83.44370860927152,15.2317880794702,1.3245033112582782
Jimmy Uso,70,80,0,46.666666666666664,53.333333333333336,0.0
Viktor,2,145,1,1.3513513513513513,97.97297297297297,0.6756756756756757
Chad Gable,120,25,2,81.63265306122449,17.006802721088434,1.3605442176870748
The Miz,43,103,1,29.25170068027211,70.06802721088435,0.6802721088435374
Mojo Rawley,113,31,2,77.3972602739726,21.232876712328768,1.36986301369863
Natalya,37,109,0,25.34246575342466,74.65753424657534,0.0
Cesaro,78,62,3,54.54545454545454,43.35664335664335,2.097902097902098
Jack Swagger,73,70,0,51.048951048951054,48.95104895104895,0.0
Bayley,126,11,2,90.64748201438849,7.913669064748201,1.4388489208633095
Big E,107,31,1,76.97841726618705,22.302158273381295,0.7194244604316548
Fandango,24,111,0,17.77777777777778,82.22222222222221,0.0
Kofi Kingston,95,39,1,70.37037037037037,28.888888888888886,0.7407407407407408
Kalisto,75,59,0,55.970149253731336,44.02985074626866,0.0
Sasha Banks,101,28,5,75.3731343283582,20.8955223880597,3.731343283582089
Bray Wyatt,24,107,2,18.045112781954884,80.45112781954887,1.5037593984962405
Sin Cara,69,62,2,51.8796992481203,46.616541353383454,1.5037593984962405
Aiden English,12,118,2,9.090909090909092,89.39393939393939,1.5151515151515151
Enzo Amore,79,48,3,60.76923076923077,36.92307692307693,2.307692307692308
Charlotte,86,42,1,66.66666666666666,32.55813953488372,0.7751937984496124
Heath Slater,62,64,0,49.2063492063492,50.79365079365079,0.0
Alexa Bliss,35,90,0,28.000000000000004,72.0,0.0
Curtis Axel,11,114,0,8.799999999999999,91.2,0.0
Simon Gotch,11,111,1,8.94308943089431,90.2439024390244,0.8130081300813009
Bo Dallas,17,104,1,13.934426229508196,85.24590163934425,0.819672131147541
Carmella,59,62,1,48.36065573770492,50.81967213114754,0.819672131147541
Goldust,96,26,0,78.68852459016394,21.311475409836063,0.0
Karl Anderson,31,89,2,25.40983606557377,72.95081967213115,1.639344262295082
Braun Strowman,65,53,3,53.71900826446281,43.80165289256198,2.479338842975207
Titus O'Neil,47,73,1,38.84297520661157,60.33057851239669,0.8264462809917356
Kane,103,15,0,87.28813559322035,12.711864406779661,0.0
R-Truth,96,21,1,81.35593220338984,17.796610169491526,0.847457627118644
Seth Rollins,39,75,4,33.05084745762712,63.559322033898304,3.389830508474576
Asuka,112,3,2,95.72649572649573,2.564102564102564,1.7094017094017095
Chris Jericho,38,77,0,33.04347826086956,66.95652173913044,0.0
Konnor,2,110,1,1.7699115044247788,97.34513274336283,0.8849557522123894
Luke Gallows,27,84,2,23.893805309734514,74.33628318584071,1.7699115044247788
Nia Jax,37,72,1,33.63636363636363,65.45454545454545,0.9090909090909091
Xavier Woods,83,26,1,75.45454545454545,23.636363636363637,0.9090909090909091
Darren Young,74,28,2,71.15384615384616,26.923076923076923,1.9230769230769231
Neville,78,26,0,75.0,25.0,0.0
Big Cass,61,40,1,59.80392156862745,39.21568627450981,0.9803921568627451
Tye Dillinger,60,41,1,58.82352941176471,40.19607843137255,0.9803921568627451
Dash Wilder,34,64,3,33.663366336633665,63.366336633663366,2.9702970297029703
Scott Dawson,34,63,3,34.0,63.0,3.0
D-Von Dudley,19,77,0,19.791666666666664,80.20833333333334,0.0
Shinsuke Nakamura,90,4,2,93.75,4.166666666666666,2.083333333333333
Samoa Joe,32,59,4,33.68421052631579,62.10526315789474,4.2105263157894735
Bubba Ray Dudley,21,72,0,22.58064516129032,77.41935483870968,0.0
Alberto Del Rio,24,65,2,26.373626373626376,71.42857142857143,2.197802197802198
Peyton Royce,20,67,2,22.47191011235955,75.28089887640449,2.247191011235955
Erick Rowan,14,72,1,16.091954022988507,82.75862068965517,1.1494252873563218
Alexander Wolfe,37,49,0,43.02325581395349,56.97674418604651,0.0
Dana Brooke,11,74,0,12.941176470588237,87.05882352941177,0.0
Liv Morgan,42,43,0,49.411764705882355,50.588235294117645,0.0
Naomi,41,43,0,48.80952380952381,51.19047619047619,0.0
Angelo Dawkins,21,62,0,25.301204819277107,74.69879518072288,0.0
Billie Kay,27,50,2,34.177215189873415,63.29113924050633,2.5316455696202533
Aliyah,26,51,1,33.33333333333333,65.38461538461539,1.282051282051282
Patrick Clark,26,52,0,33.33333333333333,66.66666666666666,0.0
