,City,State,Lat,Lng,Airport Name,Airport Address,Airport Rating
2,San Francisco,California,37.7749295,-122.4194155,Oakland International Airport,"1 Airport Dr, Oakland",3.9
3,Oakland,California,37.8043637,-122.2711137,Oakland International Airport,"1 Airport Dr, Oakland",3.9
4,Springfield, Illinois,39.78172130000001,-89.6501481,Abraham Lincoln Capital Airport,"1200 Capital Airport Dr, Springfield",3.6
5,Springfield, Massachusetts,42.1014831,-72.589811,Bradley International Airport,"Schoephoester Rd, Windsor Locks",4.1
6,Springfield, Missouri,37.2089572,-93.29229889999999,Springfield-Branson National Airport,"2300 N Airport Blvd, Springfield",4.1
7,San Jose,California,37.3382082,-121.8863286,Oakland International Airport,"1 Airport Dr, Oakland",3.9
8,Newport Beach, California,33.6188829,-117.9298493,Los Angeles International Airport,"1 World Way, Los Angeles",3.5
9,Orange, California,33.7879139,-117.8531007,LA/Ontario International Airport,Ontario,4.2
10,Garden Grove, California,33.7742692,-117.9379952,Los Angeles International Airport,"1 World Way, Los Angeles",3.5
11,Anaheim, California,33.8365932,-117.9143012,Los Angeles International Airport,"1 World Way, Los Angeles",3.5
12,Yorba Linda, California,33.88850350000001,-117.8132571,LA/Ontario International Airport,Ontario,4.2
13,Santa Barbara, California,34.4208305,-119.6981901,Oxnard Airport,"2889 W 5th St, Oxnard",4.3
14,Long Beach, California,33.7700504,-118.1937395,Los Angeles International Airport,"1 World Way, Los Angeles",3.5
15,Glendale, California,34.1425078,-118.255075,Los Angeles International Airport,"1 World Way, Los Angeles",3.5
16,San Bernardino,California,34.1083449,-117.2897652,LA/Ontario International Airport,Ontario,4.2
17,New York,New York,36.1023715,-115.1745559,McCarran International Airport,"5757 Wayne Newton Blvd, Las Vegas",3.9
18,Los Angeles,California,34.0522342,-118.2436849,Los Angeles International Airport,"1 World Way, Los Angeles",3.5
19,Chicago,Illinois,41.8781136,-87.6297982,O'Hare International Airport,"10000 W O'Hare Ave, Chicago",3.6
20,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,"7800 Airport Blvd, Houston",4
21,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3
22,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9
23,San Antonio,Texas,29.4241219,-98.49362819999999,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4
24,San Diego,California,32.715738,-117.1610838,San Diego International Airport,"3225 N Harbor Dr, San Diego",3.9
25,Dallas,Texas,32.7766642,-96.79698789999999,Dallas/Fort Worth International Airport,"2400 Aviation Dr, DFW Airport",3.8
26,Austin,Texas,30.267153,-97.7430608,Austin-Bergstrom International Airport,"3600 Presidential Blvd, Austin",4
27,Jacksonville,Florida,30.3321838,-81.65565099999999,Jacksonville International Airport,"2400 Yankee Clipper Dr, Jacksonville",4.2
28,Indianapolis,Indiana,39.768403,-86.158068,Indianapolis International Airport,"7800 Col. H. Weir Cook Memorial Dr, Indianapolis",4.3
29,Columbus,Ohio,39.9611755,-82.99879419999999,John Glenn Columbus International Airport,"4600 International Gateway, Columbus",4
30,Fort Worth,Texas,32.7554883,-97.3307658,Dallas/Fort Worth International Airport,"2400 Aviation Dr, DFW Airport",3.8
31,Charlotte,North Carolina,35.2270869,-80.8431267,Charlotte Douglas International Airport,"5501 Josh Birmingham Pkwy, Charlotte",3.5
32,Seattle,Washington,47.6062095,-122.3320708,Seattle-Tacoma International Airport,"17801 International Blvd, Seattle",3.9
33,Denver,Colorado,39.7392358,-104.990251,Denver International Airport,"8500 Peña Blvd, Denver",4.1
34,El Paso,Texas,31.7618778,-106.4850217,Ciudad Juarez International Airport,"Carretera Panamericana Km. 18.5, Aeropuerto Internacional Abraham González, Cd Juárez",3.7
35,Detroit,Michigan,42.331427,-83.0457538,Detroit Metropolitan Wayne County Airport,Detroit,4.1
36,Washington,District of Columbia,38.9071923,-77.0368707,Dulles International Airport,"1 Saarinen Cir, Dulles",3.9
37,Boston,Massachusetts,42.3600825,-71.0588801,Boston Logan International Airport,"1 Harborside Dr, Boston",3.9
38,Memphis,Tennessee,35.1495343,-90.0489801,Memphis International Airport,"2491 Winchester Rd, Memphis",3.6
