Zipcode,Address,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count
46704,"Arcola, IN 46704, USA",194,35.4,31089.0,13796,6.18556701,41.1036195,-85.2926152,18
44143,"Cleveland, OH 44143, USA",24044,48.5,60265.0,34714,6.034769589,41.5544029,-81.4828198,85
97721,"Princeton, OR 97721, USA",610,30.7,27321.0,11412,50.98360656,42.58252,-118.521529,0
57078,"Yankton, SD 57078, USA",18894,40.7,50660.0,27293,12.96178681,42.9124127,-97.4597725,14
42717,"Burkesville, KY 42717, USA",6711,43.4,30985.0,16875,23.31992252,36.7776446,-85.35496499999999,3
55433,"Minneapolis, MN 55433, USA",34024,36.3,59258.0,27493,9.972372443,45.1670628,-93.3132624,60
757,"Santa Isabel, 00757, Puerto Rico",23231,34.3,18033.0,9412,48.99487753,36.86933399999999,-76.29054599999999,94
11220,"Brooklyn, NY 11220, USA",103089,32.4,37580.0,16263,30.76855921,40.6385229,-74.0153231,195
5156,"Springfield, VT 05156, USA",9529,43.6,48872.0,25574,13.62157624,37.7621915,-97.2753099,56
52533,"Batavia, IA 52533, USA",1626,42.6,49938.0,21050,7.626076261000001,41.0393072,-92.1646722,0
46524,"Etna Green, IN 46524, USA",2541,32.0,60033.0,19849,13.34120425,41.3129797,-86.0325629,5
16153,"Stoneboro, PA 16153, USA",2686,44.6,50714.0,22506,15.93447506,41.3229151,-80.08701549999999,2
93605,"Big Creek, CA 93605, USA",243,49.2,84375.0,34293,1.646090535,37.1890642,-119.2437011,0
36701,"Selma, AL 36701, USA",22605,39.4,32136.0,20992,26.14023446,32.4800392,-87.0424393,10
44629,"Gnadenhutten, OH 44629, USA",2707,35.9,43545.0,19101,9.050609531000001,40.3480833,-81.4388858,2
22066,"Great Falls, VA 22066, USA",19475,43.5,214219.0,89776,1.201540436,39.0188593,-77.3094674,50
44251,"Westfield Center, OH 44251, USA",905,52.6,73021.0,47881,0.5524861879999999,41.0296799,-81.93029279999999,10
36858,"Hatchechubbee, AL 36858, USA",540,37.4,71563.0,25395,2.407407407,32.2912801,-85.2929384,0
35475,"Northport, AL 35475, USA",14315,33.9,69924.0,28117,3.548725114,33.4368605,-87.55936129999999,0
97366,"Newport, OR 97366, USA",1301,58.8,53135.0,36010,4.996156802,44.5772172,-124.053674,11
44708,"Canton, OH 44708, USA",25341,42.8,44731.0,26042,14.60873683,40.8122437,-81.4388858,90
83313,"Bellevue, ID 83313, USA",3609,35.4,45168.0,23296,20.0055417,43.3662171,-114.2796699,0
56453,"Hewitt, MN 56453, USA",855,41.0,50089.0,21875,12.86549708,46.3037542,-95.1628544,0
14555,"Sodus Point, NY 14555, USA",1229,54.9,57500.0,30559,11.31000814,35.9541365,-95.9904667,13
22027,"Dunn Loring, VA 22027, USA",2567,44.9,187768.0,61580,4.830541488,38.8934705,-77.2203966,194
62673,"Oakford, IL 62673, USA",697,35.9,60179.0,19800,17.36011478,40.0940561,-89.9720133,0
92111,"San Diego, CA 92111, USA",47271,35.9,57350.0,27391,18.79799454,32.8256427,-117.1558867,134
52560,"Floris, IA 52560, USA",483,44.6,53472.0,21979,11.18012422,,,0
34744,"Kissimmee, FL 34744, USA",44675,36.2,45589.0,19455,17.42585339,28.2923689,-81.32893969999999,41
29113,"Norway, SC 29113, USA",2176,32.1,36875.0,13381,24.31066176,33.4229886,-81.1306391,0
