Wrestler,Wins,Losses,Draws,Win Percent,Loss Percent,Draw Percent
Sami Zayn,39,69,0,36.11111111111111,63.888888888888886,0.0
AJ Styles,47,58,1,44.339622641509436,54.71698113207547,0.9433962264150944
Jinder Mahal,33,72,1,31.132075471698112,67.9245283018868,0.9433962264150944
Kevin Owens,34,69,0,33.00970873786408,66.99029126213593,0.0
Nia Jax,16,83,2,15.841584158415841,82.17821782178217,1.9801980198019802
Baron Corbin,29,71,0,28.999999999999996,71.0,0.0
Charlotte Flair,38,61,1,38.0,61.0,1.0
Karl Anderson,32,68,0,32.0,68.0,0.0
Dean Ambrose,85,13,1,85.85858585858585,13.131313131313133,1.0101010101010102
Cesaro,48,48,2,48.97959183673469,48.97959183673469,2.0408163265306123
Sasha Banks,77,19,2,78.57142857142857,19.387755102040817,2.0408163265306123
Sheamus,49,46,2,50.51546391752577,47.42268041237113,2.0618556701030926
Aiden English,4,91,0,4.2105263157894735,95.78947368421052,0.0
Alexa Bliss,35,58,2,36.84210526315789,61.05263157894737,2.1052631578947367
Shinsuke Nakamura,87,8,0,91.57894736842105,8.421052631578947,0.0
Becky Lynch,52,41,1,55.319148936170215,43.61702127659575,1.0638297872340425
Natalya,15,77,2,15.957446808510639,81.91489361702128,2.127659574468085
Neville,74,19,0,79.56989247311827,20.43010752688172,0.0
Bray Wyatt,33,58,1,35.869565217391305,63.04347826086957,1.0869565217391304
Fandango,31,61,0,33.69565217391305,66.30434782608695,0.0
Tyler Breeze,31,61,0,33.69565217391305,66.30434782608695,0.0
Luke Gallows,33,58,0,36.26373626373626,63.73626373626373,0.0
Roman Reigns,70,16,5,76.92307692307693,17.582417582417584,5.4945054945054945
Carmella,12,75,1,13.636363636363635,85.22727272727273,1.1363636363636365
Luke Harper,55,33,0,62.5,37.5,0.0
Bayley,71,15,1,81.60919540229885,17.24137931034483,1.1494252873563218
Dolph Ziggler,16,71,0,18.39080459770115,81.60919540229885,0.0
Jason Jordan,60,26,0,69.76744186046511,30.23255813953488,0.0
Chad Gable,56,29,0,65.88235294117646,34.11764705882353,0.0
Tye Dillinger,58,23,1,70.73170731707317,28.04878048780488,1.2195121951219512
Mojo Rawley,57,24,0,70.37037037037037,29.629629629629626,0.0
Curt Hawkins,0,80,0,0.0,100.0,0.0
Seth Rollins,69,10,1,86.25,12.5,1.25
Big Cass,40,38,1,50.63291139240506,48.10126582278481,1.2658227848101267
The Miz,10,67,2,12.658227848101266,84.81012658227847,2.5316455696202533
Titus O'Neil,10,68,1,12.658227848101266,86.07594936708861,1.2658227848101267
Randy Orton,57,21,0,73.07692307692307,26.923076923076923,0.0
Jimmy Uso,43,33,0,56.57894736842105,43.42105263157895,0.0
Apollo Crews,42,33,0,56.00000000000001,44.0,0.0
Jey Uso,42,33,0,56.00000000000001,44.0,0.0
Samoa Joe,15,57,1,20.54794520547945,78.08219178082192,1.36986301369863
Sin Cara,61,11,1,83.56164383561644,15.068493150684931,1.36986301369863
Aleister Black,66,6,0,91.66666666666666,8.333333333333332,0.0
Konnor,1,71,0,1.3888888888888888,98.61111111111111,0.0
Rhyno,46,26,0,63.888888888888886,36.11111111111111,0.0
Viktor,1,71,0,1.3888888888888888,98.61111111111111,0.0
Naomi,63,7,1,88.73239436619718,9.859154929577464,1.4084507042253522
Heath Slater,43,27,0,61.42857142857143,38.57142857142858,0.0
Kalisto,49,21,0,70.0,30.0,0.0
Kassius Ohno,53,17,0,75.71428571428571,24.285714285714285,0.0
R-Truth,55,12,2,79.71014492753623,17.391304347826086,2.898550724637681
Alexander Wolfe,30,34,4,44.11764705882353,50.0,5.88235294117647
Goldust,51,15,2,75.0,22.058823529411764,2.941176470588235
Roderick Strong,52,14,2,76.47058823529412,20.588235294117645,2.941176470588235
Andrade Almas,13,54,0,19.402985074626866,80.59701492537313,0.0
Braun Strowman,30,30,5,46.15384615384615,46.15384615384615,7.6923076923076925
Curtis Axel,25,38,2,38.46153846153847,58.46153846153847,3.076923076923077
Bo Dallas,3,59,2,4.6875,92.1875,3.125
Asuka,60,0,2,96.7741935483871,0.0,3.225806451612903
Enzo Amore,17,43,2,27.419354838709676,69.35483870967742,3.225806451612903
Finn Balor,56,6,0,90.32258064516128,9.67741935483871,0.0
Killian Dain,33,27,2,53.2258064516129,43.54838709677419,3.225806451612903
Big E,20,41,0,32.78688524590164,67.21311475409836,0.0
Bobby Roode,28,31,0,47.45762711864407,52.54237288135594,0.0
