Wrestler,Wins,Losses,Draws,total,win %,loss %,draw %
Dean Ambrose,150,63,5,218,68.80733944954129,28.899082568807337,2.293577981651376
Roman Reigns,187,19,7,213,87.79342723004694,8.92018779342723,3.286384976525822
Cesaro,117,69,1,187,62.56684491978609,36.898395721925134,0.53475935828877
Big E,96,86,1,183,52.459016393442624,46.994535519125684,0.546448087431694
Luke Harper,55,122,3,180,30.555555555555557,67.77777777777779,1.6666666666666667
Kofi Kingston,86,90,1,177,48.58757062146893,50.847457627118644,0.5649717514124294
Seth Rollins,51,124,1,176,28.97727272727273,70.45454545454545,0.5681818181818182
Ryback,138,34,2,174,79.3103448275862,19.54022988505747,1.1494252873563218
Dolph Ziggler,115,52,2,169,68.04733727810651,30.76923076923077,1.183431952662722
Sin Cara,115,50,1,166,69.27710843373494,30.120481927710845,0.6024096385542169
Bray Wyatt,28,133,2,163,17.177914110429448,81.59509202453987,1.2269938650306749
Kalisto,107,54,2,163,65.6441717791411,33.12883435582822,1.2269938650306749
Viktor,19,143,0,162,11.728395061728394,88.27160493827161,0.0
Konnor,19,141,0,160,11.875,88.125,0.0
Bo Dallas,15,141,1,157,9.554140127388536,89.80891719745223,0.6369426751592357
Neville,116,38,0,154,75.32467532467533,24.675324675324674,0.0
Titus O'Neil,92,61,0,153,60.130718954248366,39.869281045751634,0.0
Kevin Owens,63,85,4,152,41.44736842105263,55.92105263157895,2.631578947368421
Adam Rose,8,142,1,151,5.298013245033113,94.03973509933775,0.6622516556291391
Sasha Banks,62,87,2,151,41.05960264900662,57.615894039735096,1.3245033112582782
Tyler Breeze,44,105,2,151,29.13907284768212,69.5364238410596,1.3245033112582782
Rusev,52,93,4,149,34.899328859060404,62.41610738255034,2.684563758389262
Naomi,55,92,1,148,37.16216216216216,62.16216216216216,0.6756756756756757
Stardust,38,110,0,148,25.675675675675674,74.32432432432432,0.0
Charlotte,108,35,3,146,73.97260273972603,23.972602739726025,2.054794520547945
Fandango,69,75,1,145,47.58620689655172,51.724137931034484,0.6896551724137931
Sheamus,58,86,1,145,40.0,59.310344827586206,0.6896551724137931
R-Truth,94,44,1,139,67.62589928057554,31.654676258992804,0.7194244604316548
Darren Young,87,47,2,136,63.970588235294116,34.55882352941176,1.4705882352941175
John Cena,125,11,0,136,91.91176470588235,8.088235294117647,0.0
Kane,44,92,0,136,32.35294117647059,67.64705882352942,0.0
The Miz,17,115,1,133,12.781954887218044,86.46616541353383,0.7518796992481203
Zack Ryder,88,45,0,133,66.16541353383458,33.83458646616541,0.0
Heath Slater,1,131,0,132,0.7575757575757576,99.24242424242425,0.0
Paige,68,62,2,132,51.515151515151516,46.96969696969697,1.5151515151515151
Becky Lynch,71,59,1,131,54.19847328244275,45.038167938931295,0.7633587786259541
Jack Swagger,65,65,0,130,50.0,50.0,0.0
Curtis Axel,58,68,2,128,45.3125,53.125,1.5625
The Big Show,30,94,1,125,24.0,75.2,0.8
Emma,62,62,0,124,50.0,50.0,0.0
Finn Balor,103,20,0,123,83.73983739837398,16.260162601626014,0.0
Jimmy Uso,82,36,3,121,67.76859504132231,29.75206611570248,2.479338842975207
Bayley,99,19,1,119,83.19327731092437,15.966386554621847,0.8403361344537815
Fernando,30,87,0,117,25.64102564102564,74.35897435897436,0.0
Baron Corbin,61,54,0,115,53.04347826086957,46.95652173913044,0.0
Diego,29,86,0,115,25.217391304347824,74.78260869565217,0.0
Xavier Woods,53,59,1,113,46.902654867256636,52.21238938053098,0.8849557522123894
Nikki Bella,68,43,0,111,61.261261261261254,38.73873873873874,0.0
Alicia Fox,36,74,0,110,32.72727272727273,67.27272727272727,0.0
Natalya,82,18,0,100,82.0,18.0,0.0
Brie Bella,41,58,0,99,41.41414141414141,58.58585858585859,0.0
Erick Rowan,53,44,1,98,54.08163265306123,44.89795918367347,1.0204081632653061
Simon Gotch,57,41,0,98,58.16326530612245,41.83673469387755,0.0
Aiden English,57,40,0,97,58.76288659793815,41.23711340206185,0.0
Bull Dempsey,62,34,0,96,64.58333333333334,35.41666666666667,0.0
Scott Dawson,38,58,0,96,39.58333333333333,60.416666666666664,0.0
Dash Wilder,38,57,0,95,40.0,60.0,0.0
Colin Cassady,69,24,0,93,74.19354838709677,25.806451612903224,0.0
Tye Dillinger,24,66,3,93,25.806451612903224,70.96774193548387,3.225806451612903
Randy Orton,81,10,1,92,88.04347826086956,10.869565217391305,1.0869565217391304
Tyson Kidd,39,49,1,89,43.82022471910113,55.0561797752809,1.1235955056179776
Jason Jordan,28,59,1,88,31.818181818181817,67.04545454545455,1.1363636363636365
King Barrett,22,65,0,87,25.287356321839084,74.71264367816092,0.0
Enzo Amore,67,19,0,86,77.90697674418605,22.093023255813954,0.0
Solomon Crowe,46,37,1,84,54.761904761904766,44.047619047619044,1.1904761904761905
Blake,31,51,0,82,37.80487804878049,62.19512195121951,0.0
Murphy,32,50,0,82,39.02439024390244,60.97560975609756,0.0
Chad Gable,26,55,0,81,32.098765432098766,67.90123456790124,0.0
Bad News Barrett,20,54,0,74,27.027027027027028,72.97297297297297,0.0
Carmella,36,33,1,70,51.42857142857142,47.14285714285714,1.4285714285714286
D-Von Dudley,36,29,1,66,54.54545454545454,43.93939393939394,1.5151515151515151
Jey Uso,37,28,1,66,56.060606060606055,42.42424242424242,1.5151515151515151
Bubba Ray Dudley,36,28,1,65,55.38461538461539,43.07692307692308,1.5384615384615385
Goldust,22,40,0,62,35.483870967741936,64.51612903225806,0.0
Damien Sandow,50,9,2,61,81.9672131147541,14.754098360655737,3.278688524590164
Summer Rae,11,50,0,61,18.0327868852459,81.9672131147541,0.0
Cameron,7,52,0,59,11.864406779661017,88.13559322033898,0.0
Dana Brooke,18,39,1,58,31.03448275862069,67.24137931034483,1.7241379310344827
Daniel Bryan,51,7,0,58,87.93103448275862,12.068965517241379,0.0
Braun Strowman,30,26,1,57,52.63157894736842,45.614035087719294,1.7543859649122806
Alexa Bliss,19,37,0,56,33.92857142857143,66.07142857142857,0.0
Angelo Dawkins,11,45,0,56,19.642857142857142,80.35714285714286,0.0
Mojo Rawley,41,11,0,52,78.84615384615384,21.153846153846153,0.0
Elias Samson,12,38,1,51,23.52941176470588,74.50980392156863,1.9607843137254901
Apollo Crews,42,8,0,50,84.0,16.0,0.0
Tamina,7,43,0,50,14.000000000000002,86.0,0.0
Samoa Joe,36,11,1,48,75.0,22.916666666666664,2.083333333333333
Sawyer Fulton,7,41,0,48,14.583333333333334,85.41666666666666,0.0
Chris Jericho,42,4,0,46,91.30434782608695,8.695652173913043,0.0
Damien Mizdow,14,29,0,43,32.55813953488372,67.44186046511628,0.0
Alberto Del Rio,26,13,2,41,63.41463414634146,31.70731707317073,4.878048780487805
Mark Henry,17,23,1,41,41.46341463414634,56.09756097560976,2.4390243902439024
Hideo Itami,25,13,0,38,65.78947368421053,34.21052631578947,0.0
Adrian Neville,14,20,0,34,41.17647058823529,58.82352941176471,0.0
Sami Zayn,22,11,1,34,64.70588235294117,32.35294117647059,2.941176470588235
Mike Rawlis,9,24,0,33,27.27272727272727,72.72727272727273,0.0
Steve Cutler,8,22,1,31,25.806451612903224,70.96774193548387,3.225806451612903
Marcus Louis,5,24,0,29,17.24137931034483,82.75862068965517,0.0
Tucker Knight,3,24,1,28,10.714285714285714,85.71428571428571,3.571428571428571
Brad Maddox,1,26,0,27,3.7037037037037033,96.29629629629629,0.0
Nia Jax,17,9,0,26,65.38461538461539,34.61538461538461,0.0
Riddick Moss,8,17,0,25,32.0,68.0,0.0
Asuka,24,0,0,24,100.0,0.0,0.0
Rhyno,8,16,0,24,33.33333333333333,66.66666666666666,0.0
Eva Marie,13,9,1,23,56.52173913043478,39.130434782608695,4.3478260869565215
Billie Kay,5,15,1,21,23.809523809523807,71.42857142857143,4.761904761904762
Hugo Knox,13,8,0,21,61.904761904761905,38.095238095238095,0.0
Lina,9,11,0,20,45.0,55.00000000000001,0.0
Macho Mandow,14,5,0,19,73.68421052631578,26.31578947368421,0.0
CJ Parker,0,18,0,18,0.0,100.0,0.0
Jessie McKay,1,17,0,18,5.555555555555555,94.44444444444444,0.0
Peyton Royce,2,16,0,18,11.11111111111111,88.88888888888889,0.0
Layla,6,10,0,16,37.5,62.5,0.0
Uhaa Nation,13,3,0,16,81.25,18.75,0.0
Devin Taylor,6,9,0,15,40.0,60.0,0.0
